Year,China Population,India Population
1950,543979233,357021100
1951,553613988,364922360
1952,564954522,372997188
1953,577378682,381227705
1954,589936004,389731406
1955,603320147,398577992
1956,616283022,407656597
1957,630003025,416935399
1958,643791581,426295763
1959,652179194,435900352
1960,654170692,445954579
1961,655260380,456351876
1962,664614650,467024193
1963,683903557,477933619
1964,704593772,489059309
1965,723846349,500114346
1966,742948541,510992617
1967,761006260,521987069
1968,780371956,533431909
1969,801430976,545314670
1970,822534450,557501301
1971,843285424,569999178
1972,862840403,582837973
1973,881652080,596107483
1974,899367640,609721951
1975,915124661,623524219
1976,929375924,637451448
1977,942581333,651685628
1978,955138943,666267760
1979,968298969,681248383
1980,982372466,696828385
1981,997259502,712869298
1982,1013483166,729169466
1983,1029226907,745826546
1984,1044172197,762895156
1985,1060239979,780242084
1986,1077770523,797878993
1987,1096851843,815716125
1988,1115889802,833729681
1989,1134414723,852012673
1990,1153704252,870452165
1991,1170626171,888941756
1992,1183813389,907574049
1993,1195855558,926351297
1994,1207286675,945261958
1995,1218144426,964279129
1996,1228298836,983281218
1997,1237801448,1002335230
1998,1246836105,1021434576
1999,1255433236,1040500054
2000,1264099069,1059633675
2001,1272739582,1078970907
2002,1280926120,1098313039
2003,1288873367,1117415123
2004,1296816711,1136264583
2005,1304887562,1154638713
2006,1313086567,1172373788
2007,1321513224,1189691809
2008,1330167148,1206734806
2009,1339125595,1223640160
2010,1348191368,1240613620
2011,1357095481,1257621191
2012,1366560818,1274487215
2013,1376100308,1291132063
2014,1385189668,1307246509
2015,1393715448,1322866505
2016,1401889681,1338636340
2017,1410275957,1354195680
2018,1417069468,1369003306
2019,1421864031,1383112050
2020,1424929781,1396387127
2021,1425893465,1407563842
2022,1425887337,1417173173
2023,1425671352,1428627663
2024,1425178782,1441719852
2025,1424381924,1454606724
