Year,PlayedinIndia,IndRes
1932,NO,Lost
1933,YES,Lost
1934,YES,Draw
1934,YES,Lost
1936,NO,Lost
1936,NO,Draw
1936,NO,Lost
1946,NO,Lost
1946,NO,Draw
1946,NO,Draw
1947,NO,Lost
1947,NO,Draw
1948,NO,Lost
1948,NO,Lost
1948,NO,Lost
1948,YES,Draw
1948,YES,Draw
1948,YES,Draw
1949,YES,Lost
1949,YES,Draw
1951,YES,Draw
1951,YES,Draw
1951,YES,Draw
1952,YES,Lost
1952,YES,Won
1952,NO,Lost
1952,NO,Lost
1952,NO,Lost
1952,NO,Draw
1952,YES,Won
1952,YES,Lost
1952,YES,Won
1952,YES,Draw
1952,YES,Draw
1953,NO,Draw
1953,NO,Lost
1953,NO,Draw
1953,NO,Draw
1953,NO,Draw
1955,NO,Draw
1955,NO,Draw
1955,NO,Draw
1955,NO,Draw
1955,NO,Draw
1955,YES,Draw
1955,YES,Won
1955,YES,Draw
1955,YES,Draw
1956,YES,Won
1956,YES,Lost
1956,YES,Draw
1956,YES,Lost
1958,YES,Draw
1958,YES,Lost
1958,YES,Lost
1959,YES,Lost
1959,YES,Draw
1959,NO,Lost
1959,NO,Lost
1959,NO,Lost
1959,NO,Lost
1959,NO,Lost
1959,YES,Lost
1959,YES,Won
1960,YES,Draw
1960,YES,Lost
1960,YES,Draw
1960,YES,Draw
1960,YES,Draw
1960,YES,Draw
1961,YES,Draw
1961,YES,Draw
1961,YES,Draw
1961,YES,Draw
1961,YES,Draw
1961,YES,Won
1962,YES,Won
1962,NO,Lost
1962,NO,Lost
1962,NO,Lost
1962,NO,Lost
1962,NO,Lost
1964,YES,Draw
1964,YES,Draw
1964,YES,Draw
1964,YES,Draw
1964,YES,Draw
1964,YES,Lost
1964,YES,Won
1964,YES,Draw
1965,YES,Draw
1965,YES,Draw
1965,YES,Draw
1965,YES,Won
1966,YES,Lost
1966,YES,Lost
1967,YES,Draw
1967,NO,Lost
1967,NO,Lost
1967,NO,Lost
1967,NO,Lost
1967,NO,Lost
1968,NO,Lost
1968,NO,Lost
1968,NO,Won
1968,NO,Lost
1968,NO,Won
1968,NO,Won
1969,YES,Won
1969,YES,Lost
1969,YES,Draw
1969,YES,Lost
1969,YES,Draw
1969,YES,Won
1969,YES,Lost
1969,YES,Lost
1971,NO,Draw
1971,NO,Won
1971,NO,Draw
1971,NO,Draw
1971,NO,Draw
1971,NO,Draw
1971,NO,Draw
1971,NO,Won
1972,YES,Lost
1972,YES,Won
1973,YES,Won
1973,YES,Draw
1973,YES,Draw
1974,NO,Lost
1974,NO,Lost
1974,NO,Lost
1974,YES,Lost
1974,YES,Lost
1974,YES,Won
1975,YES,Won
1975,YES,Lost
1976,NO,Won
1976,NO,Draw
1976,NO,Lost
1976,NO,Lost
1976,NO,Draw
1976,NO,Won
1976,NO,Lost
1976,YES,Won
1976,YES,Draw
1976,YES,Won
1976,YES,Lost
1977,YES,Lost
1977,YES,Lost
1977,YES,Won
1977,YES,Draw
1977,NO,Lost
1977,NO,Lost
1977,NO,Won
1978,NO,Won
1978,NO,Lost
1978,NO,Draw
1978,NO,Lost
1978,NO,Lost
1978,YES,Draw
1978,YES,Draw
1978,YES,Draw
1979,YES,Won
1979,YES,Draw
1979,YES,Draw
1979,NO,Lost
1979,NO,Draw
1979,NO,Draw
1979,NO,Draw
1979,YES,Draw
1979,YES,Draw
1979,YES,Won
1979,YES,Draw
1979,YES,Draw
1979,YES,Won
1979,YES,Draw
1979,YES,Draw
1979,YES,Won
1979,YES,Draw
1980,YES,Won
1980,YES,Draw
1980,YES,Lost
1981,NO,Lost
1981,NO,Draw
1981,NO,Won
1981,NO,Lost
1981,NO,Draw
1981,NO,Draw
1981,YES,Won
1981,YES,Draw
1981,YES,Draw
1982,YES,Draw
1982,YES,Draw
1982,YES,Draw
1982,NO,Lost
1982,NO,Draw
1982,NO,Draw
1982,YES,Draw
1982,NO,Draw
1982,NO,Lost
1983,NO,Lost
1983,NO,Lost
1983,NO,Draw
1983,NO,Draw
1983,NO,Lost
1983,NO,Draw
1983,NO,Draw
1983,NO,Lost
1983,NO,Draw
1983,YES,Draw
1983,YES,Draw
1983,YES,Draw
1983,YES,Lost
1983,YES,Draw
1983,YES,Lost
1983,YES,Draw
1983,YES,Lost
1983,YES,Draw
1984,NO,Draw
1984,NO,Draw
1984,YES,Won
1984,YES,Lost
1984,YES,Draw
1985,YES,Lost
1985,YES,Draw
1985,NO,Draw
1985,NO,Lost
1985,NO,Draw
1985,NO,Draw
1985,NO,Draw
1986,NO,Draw
1986,NO,Won
1986,NO,Won
1986,NO,Draw
1986,YES,Draw
1986,YES,Draw
1986,YES,Draw
1986,YES,Draw
1986,YES,Won
1987,YES,Won
1987,YES,Draw
1987,YES,Draw
1987,YES,Draw
1987,YES,Draw
1987,YES,Lost
1987,YES,Lost
1987,YES,Draw
1987,YES,Draw
1988,YES,Won
1988,YES,Won
1988,YES,Lost
1988,YES,Won
1989,NO,Draw
1989,NO,Lost
1989,NO,Lost
1989,NO,Lost
1989,NO,Draw
1989,NO,Draw
1989,NO,Draw
1989,NO,Draw
1990,NO,Lost
1990,NO,Draw
1990,NO,Draw
1990,NO,Lost
1990,NO,Draw
1990,NO,Draw
1990,YES,Won
1991,NO,Lost
1991,NO,Lost
1992,NO,Draw
1992,NO,Lost
1992,NO,Lost
1992,NO,Draw
1992,NO,Draw
1992,NO,Draw
1992,NO,Lost
1993,NO,Draw
1993,YES,Won
1993,YES,Won
1993,YES,Won
1993,YES,Won
1993,NO,Draw
1993,NO,Won
1993,NO,Draw
1994,YES,Won
1994,YES,Won
1994,YES,Won
1994,NO,Draw
